tt,mm,evpt,prp,tempp,d18o
1,1,57.95915,7.099992,19.08065,-3.6535531
2,2,37.27556,64.59992,19.06335,-3.6535531
3,3,73.69382,19.999991,15.9387,-3.680475
4,4,41.2491,30.3999,15.07,-3.512646667
5,5,34.99187,133.40013,13.138715,-4.192473333
6,6,28.56867,215.6001,13.20324,-4.679895
7,7,39.70852,155.69998,14.33335,-4.460117143
8,8,58.3792,170.8999,15.87095,-3.953078571
9,9,83.5656,128.4999,17.075,-3.323472857
10,10,126.03267,39.20012,18.7853,-2.913674286
11,11,116.8305,76.2999,20.31935,-3.183408571
12,12,90.23945,2.5000012,19.93035,-3.04585
13,1,43.27755,12.799993,20.2806,-3.20450625
14,2,25.936876,1.1999988,17.66835,-3.52181875
15,3,64.67654,98.69997,16.4274,-3.680475
16,4,51.2376,26.19999,13.7883,-3.512646667
17,5,39.34117,97.19988,12.438725,-4.192473333
18,6,24.02214,263.3001,14.45805,-4.679895
19,7,34.7324,168.70014,13.6683,-4.460117143
20,8,55.67445,215.40009,14.95,-3.953078571
21,9,83.2467,168.8001,17.005,-3.323472857
22,10,133.23025,51.69994,18.2447,-2.913674286
23,11,118.3386,18.39999,20.10645,-3.183408571
24,12,78.5416,21.800006,21.14105,-3.04585
25,1,43.32405,7.599991,20.5355,-3.20450625
26,2,29.64444,6.799996,19.75335,-3.52181875
27,3,32.74096,18.300013,16.7839,-3.680475
28,4,30.3933,15.80001,14.6533,-3.512646667
29,5,29.977093,232.30005,13.99515,-4.192473333
30,6,23.09184,291.0999,13.35159,-4.679895
31,7,40.86327,181.39991,13.90165,-4.460117143
32,8,61.03063,174.10003,14.7048,-3.953078571
33,9,76.3464,122.6001,17.69165,-3.323472857
34,10,122.10156,126.20007,20.5371,-2.913674286
35,11,132.3126,4.59999,21.1484,-3.183408571
36,12,72.54093,15.600006,20.84655,-3.04585
37,1,74.11852,68.50008,19.3387,-3.20450625
38,2,65.89351,25.300006,18.155,-3.52181875
39,3,46.95167,29.700015,15.53225,-3.680475
40,4,39.7317,89.9001,14.42665,-3.512646667
41,5,41.43057,92.69992,13.5032,-4.192473333
42,6,27.68283,195.9999,12.550005,-4.679895
43,7,29.3136,324.2011,14.545,-4.460117143
44,8,54.81296,183.50016,15.08225,-3.953078571
45,9,76.704,77.4,17.72665,-3.323472857
46,10,128.87475,42.89997,18.94195,-2.913674286
47,11,117.9525,46.8,19.90965,-3.183408571
48,12,65.66947,10.599985,19.84285,-3.04585
49,1,39.60157,6.699999,19.2048,-3.20450625
50,2,32.71408,10.900008,17.85835,-3.52181875
51,3,27.150234,10.699991,16.01775,-3.680475
52,4,24.12168,11.90001,14.55,-3.512646667
53,5,34.16758,144.30004,13.074215,-4.192473333
54,6,26.25114,101.0001,12.995145,-4.679895
55,7,35.00365,91.60004,13.95665,-4.460117143
56,8,43.52927,136.20005,13.930635,-3.953078571
57,9,62.5773,137.9001,17.28335,-3.323472857
58,10,117.89548,38.29988,16.37715,-2.913674286
59,11,114.3669,25.2,19.40965,-3.183408571
60,12,93.18507,55.20015,20.3,-3.04585
61,1,54.75592,19.300011,19.38385,-3.20450625
62,2,33.19624,6.399988,17.76,-3.52181875
63,3,26.602774,12.4,16.29355,-3.680475
64,4,36.8052,104.3001,14.43165,-3.512646667
65,5,38.30174,126.90005,13.6919,-4.192473333
66,6,19.10199,124.4001,12.950015,-4.679895
67,7,31.89094,183.59998,13.8383,-4.460117143
68,8,62.57443,172.59994,15.0387,-3.953078571
69,9,87.9045,85.7001,16.5783,-3.323472857
70,10,98.63332,75.79996,17.7159,-2.913674286
71,11,130.647,28.40001,19.58225,-3.183408571
72,12,68.66376,7.699997,20.6357,-3.04585
73,1,47.40334,15.800018,21.1226,-3.20450625
74,2,43.30088,23.000012,18.63,-3.52181875
75,3,32.66811,27.600013,17.40165,-3.680475
76,4,49.3188,63,14.08835,-3.512646667
77,5,43.50447,131.90004,13.7242,-4.192473333
78,6,30.7665,231.6,12.76129,-4.679895
79,7,33.53921,166.19999,13.74165,-4.460117143
