tt,mm,f1,f3,f4,f5,f6,f7,soilstor,epxstor,kststor1,kststor2,soil18o,epx18o,kststor118o,kststor218o,dpdf[0],stal1d18o,stal2d18o,stal3d18o,stal4d18o,stal5d18o,drip_int_stal1,drip_int_stal4,drip_int_stal3,drip_int_stal2,drip_int_stal5,cave_temp
1,1,29.8281684,1.0386253472,0,1.2937678242505082,0.1,0,119.3126736,118.48637960857602,257.45979702585112,49.9,-4.894229608380532,-4.205450263034294,-4.8873247540731617,-4.0,10.303163444224001,-4.0113991765019508,-4.7100673069492283,-4.681901439747449,-4.1989200091212542,-4.9879087470002803,997,1260,376,376,386,14.699999999999996
2,2,29.32740672,1.1825102906286082,0,1.4872884360941674,0.0998,0,117.30962688,134.9007739549116,295.97039878273932,49.8002,-4.065642799706883,-4.177711373169311,-4.7510896691163778,-4.0,11.730502083035793,-3.844151456261935,-4.2550211983013453,-4.526880075452433,-4.0085379012128053,-4.7719100845446949,1028,1138,283,278,345,14.699519444444437
3,3,12.723159575999999,1.1809914682472928,0,1.6116196008607298,0.09960039999999999,0,50.89263830399999,134.72750669765117,320.71230057128525,49.7005996,-3.687521984632803,-4.135463766946937,-4.6872050878525684,-4.0,11.715435365013146,-4.0064591272488403,-4.3025495936099833,-4.5479014013951602,-4.1345306756528366,-4.794953244845801,1018,1126,297,249,315,14.612243055555549
4,4,8.008687660799998,1.1418895548676093,0,1.73772878377074,0.0994011992,0,32.03475064319999,130.26676041929687,345.80802797037722,49.601198400799994,-3.159364683643558,-4.080696490018293,-4.6260494022035044,-4.0,11.327544384286684,-3.8464438129416356,-4.1495571792722341,-4.3797083786215607,-3.9124301504513959,-4.6472994116235622,1060,1211,279,265,304,14.500836111111106
5,5,26.088602128639998,1.2508429003834949,0,1.9835050950245054,0.09920239680159999,0,104.35440851455999,142.69615807574908,394.71751390987657,49.50199600399839,-3.145940839340682,-3.924728265707793,-4.5637357855257532,-4.0,12.408361571804269,-3.7476043344454313,-4.2279246838089479,-4.4840291196257542,-3.6669157729899426,-4.538890616359037,1058,1101,198,187,265,14.335782361111104
6,6,58.277167702911996,1.6077866062292887,0,2.3259840274644126,0.09900399200799678,0,233.10867081164798,183.41629603863726,400.0,49.4029920119904,-3.6020632670104704,-3.8311635990134016,-4.5576500839616241,-4.0,15.949243133794544,-3.3857777532506628,-4.44107440268382,-4.4992910860095492,-3.2803369043254982,-4.3746400226528648,995,804,159,131,246,14.17252097222222
7,7,60.0,1.9473303683090981,0,2.2766569136958346,0.0988059840239808,0,240.0,222.1514484167019,400.0,49.304186027966416,-3.4686313033540648,-3.7418025410499385,-4.5280944249192911,-4.0,19.317517253626253,-3.6210258931589356,-4.5248111422880877,-4.4487453947947841,-3.4388739690951464,-4.4174889902445225,1050,699,186,134,259,14.040651527777772
8,8,60.0,2.2572115873336154,0,2.297869879293819,0.09860837205593284,0,240.0,257.5026978830188,400.0,49.20557765591048,-2.9416951963692823,-3.571658311948056,-4.451351100234902,-4.0,22.39153894634946,-3.6314813702367221,-4.2919014194451321,-4.2645476906083557,-3.3099242605252321,-4.3417075240532732,967,554,166,131,238,13.951493194444442
9,9,56.98686000000001,2.515916463064151,0,2.2492719674005355,0.09841115531182096,0,227.94744,287.0157501063583,400.0,49.10716650059866,-2.2006183437299223,-3.323219975078652,-4.3441379210180404,-4.0,24.957891313596374,-3.4303106518467352,-3.8955661682934517,-3.9497384474900255,-2.9431464755367287,-4.1514667710239594,948,487,176,133,233,13.89578069444444
10,10,28.222978,2.5219098248508667,0,2.1424022262499927,0.09821433300119732,0,112.891912,287.69947281898686,400.0,49.008952167597464,-1.7504439339995401,-3.182411059013851,-4.2805914028539371,-4.0,25.0173454625206,-3.5027185929134008,-3.5895445534740444,-3.7878694821094072,-2.8499325572844958,-4.1122748994036895,975,498,217,168,239,13.887576527777771
11,11,14.4722624,2.4173738817518946,0,2.1922431886738245,0.09801790433519493,0,57.8890496,275.77401243025616,400.0,48.91093426326227,-0.9148390321244603,-3.0738075942978,-4.198623015040039,-4.0,23.980348906978797,-3.5788295299231665,-3.526581235602233,-3.8362315538534864,-2.7854171112621229,-4.0629914399215039,993,528,204,188,243,13.921984861111106
12,12,0.0,2.2061920994420494,0,2.1009338157802309,0.09782186852652454,0,0.0,248.975211204349,400.0,48.81311239473575,-0.8909864959008211,-2.9925920892978,-4.1603130543538036,-4.0,21.885425626465132,-3.5857048957367299,-3.5300875505190898,-3.7468482120337487,-2.6827701181380004,-4.0242395735715641,1073,631,260,218,262,13.945587638888885
13,1,0.0,1.991801689634792,0,2.1181978859445825,0.0976262247894715,0,0.0,225.92641025353706,400.0,48.715486169946274,-1.9061797500000002,-2.9536422942978,-4.1122386438344938,-4.0,19.758672761177134,-3.855808530256577,-3.6062311323497021,-3.8722268683669681,-2.849838735479171,-4.0967652648757902,1022,661,241,239,249,13.97891958333333
14,2,0.0,1.8074112820282966,0,2.1014578159014765,0.09743097233989255,0,0.0,205.41137277378806,400.0,48.61805519760638,-2.74371247,-2.9302991058977996,-4.0702404899827282,-4.0,17.929519917720704,-3.6809756199123189,-3.6267244799639275,-3.8390504880979615,-2.6644833781984678,-3.9756568490677546,1053,747,255,247,256,13.939689027777774
15,3,6.8046859999999985,1.6977284701903046,0,2.2229678819044776,0.09723611039521277,0,27.218743999999994,192.44073335333624,400.0,48.520819087211166,-1.7401788,-2.856243197392563,-4.0086615025856638,-4.0,16.841466424287823,-3.8454348266229177,-3.7849922723930396,-3.9067053543199171,-2.7248803522254006,-3.9741285587533426,1042,788,202,202,253,13.865987638888885
16,4,0.43622679999999864,1.5430156812266898,0,2.1294214622629646,0.09704163817442234,0,1.7449071999999943,174.52586285720108,400.0,48.42377744903674,-1.8556046384708504,-2.809040955604273,-3.9606360542189334,-4.0,15.306715557768765,-3.6779681910596995,-3.6828102628906345,-3.73115816238756,-2.510330367308411,-3.8355601326859334,1086,904,246,200,263,13.718977916666663
17,5,11.92072344,1.4915726903776085,0,2.2143698094941433,0.09684755489807348,0,47.68289376,170.15861251827758,400.0,48.326929894138665,-2.991840813954807,-2.8207285203891512,-3.9357428057558459,-4.0,14.796401088545878,-3.5750305396325954,-3.7376087294692661,-3.8376584757719989,-2.4197249942032872,-3.7450680912031187,1084,923,210,200,262,13.534479999999995
