tt,mm,f1,f3,f4,f5,f6,f7,soilstor,epxstor,kststor1,kststor2,soil18o,epx18o,kststor118o,kststor218o,dpdf[0],stal1d18o,stal2d18o,stal3d18o,stal4d18o,stal5d18o,drip_int_stal1,drip_int_stal4,drip_int_stal3,drip_int_stal2,drip_int_stal5,cave_temp
1,1,0.2715566480000007,0.802172453184,0,1.2746913637265389,0.1,0,1.0862265920000027,98.67362912125748,253.66358138158125,49.9,-4.1788794438864905,-4.000484443483295,-4.902144874293735,-4.0,0.795755073558528,-2.896976160267184,-3.6219394405517802,-3.5974528231754732,-2.8945144509543441,-3.9661056261398597,400,405,148,148,157,9.99999999999999
2,2,0.0,0.7893890329700598,0,1.3830448869438152,0.0998,0,0.0,97.10116616758111,275.22593250181922,49.8002,-1.9877530229463,-4.000484443483295,-4.8272486648918482,-4.0,0.7830739207062993,-2.8862049742753859,-3.0435170603546613,-3.3956999268914823,-2.8808301201038722,-3.8900354204201015,401,411,137,131,145,9.951079327777766
3,3,0.0,0.776809329340649,0,1.4761200904084293,0.09960039999999999,0,0.0,95.55376198353454,293.74789799127745,49.7005996,-3.0589488501,-4.000484443483295,-4.7711918683623242,-4.0,0.7705948547059237,-2.8641602738448402,-3.0566824296931472,-3.538527759241572,-2.8553440976278877,-3.8187730869008174,402,418,128,122,136,9.84803343833332
4,4,0.0,0.7644300958682764,0,1.553560655108094,0.0994011992,0,0.0,94.03101723256493,309.15857036651073,49.601198400799994,-2.9497334287,-4.000484443483295,-4.7291274782435,-4.0,0.7583146551013301,-2.8321154866555176,-3.3792400546749368,-3.6512999330450269,-2.8199319839505854,-3.7494818258896334,403,425,113,108,129,9.697092639166655
5,5,5.085094280000002,0.7929288921005195,0,1.6164132272102618,0.09920239680159999,0,20.340377120000007,97.5365971595007,321.66623221484207,49.50199600399839,-3.4172991210000006,-3.970564460724852,-4.6973290503493663,-4.0,0.7865854609637154,-2.7926420938868546,-3.5871239060125681,-3.6812316040022441,-2.7597090971960281,-3.6810650522505206,404,410,103,92,124,9.510735461944435
6,6,40.0,1.1002927772760056,0,1.6681133548851315,0.09900399200799678,0,160.0,135.3448139471669,331.95455762214118,49.4029920119904,-4.061974654290122,-3.9971494411455213,-4.6729776833700623,-4.0,1.0914904350577976,-2.7573604806866436,-3.739004094096221,-3.7428785055941827,-2.8212188507349412,-3.6230141483158951,404,295,72,64,120,9.341920531666656
7,7,40.0,1.402758511577335,0,1.7092172606391294,0.0988059840239808,0,160.0,172.55051899210486,340.13423486718671,49.304186027966416,-3.5860660008185965,-3.903372287188567,-4.6533326106002812,-4.0,1.3915364434847166,-2.7207650686059681,-3.6629274891741836,-3.5562805271481812,-2.733566013848443,-3.5680643901863096,405,231,80,55,117,9.169798754166656
8,8,40.0,1.700404151936839,0,1.7417465202662761,0.09860837205593284,0,160.0,209.16331392144667,346.60755753298889,49.20557765591048,-2.5660328731584046,-3.651697641486133,-4.6360685575250278,-4.0,1.686800918721344,-2.6954533037758521,-3.3125595877644409,-3.3347630299349618,-2.484335117659886,-3.5264708619153762,406,191,77,59,115,9.051706648333322
9,9,32.22727263,1.9311246924115735,0,1.7663254263265895,0.09841115531182096,0,128.90909052,237.54378616416284,351.4987598389913,49.10716650059866,-2.5157469841846547,-3.50004056135687,-4.6212120137038024,-4.0,1.915675694872281,-2.6846907890306637,-3.1969619768764668,-3.3918142225111136,-2.3386241567662225,-3.5024829708536487,407,168,97,68,113,9.003075703888879
10,10,17.219895022,2.0381094494893026,0,1.7842360609166898,0.09821433300119732,0,68.879580088,250.70376716278017,355.06297612242128,49.008952167597464,-1.812296616802688,-3.385963180256374,-4.6077998598244339,-4.0,2.0218045738933883,-2.6663905296536727,-2.8134627280848035,-2.9230468527789988,-2.2126328099567605,-3.4712696187237935,408,159,100,87,112,8.918517295555546
11,11,0.0,2.0056301373022416,0,1.7959709760913307,0.09801790433519493,0,0.0,246.7085519292741,357.39822424217482,48.91093426326227,-0.9431606826281737,-3.385963180256374,-4.5966062601745188,-4.0,1.9895850962038235,-2.6679852984230479,-2.5731961382891022,-3.1193159328264386,-2.2120843009021396,-3.4625038407476438,408,162,104,93,111,8.926119134166655
12,12,0.0,1.9736684154341928,0,1.8079583684547993,0.09782186852652454,0,0.0,242.7770044457292,359.78371532250503,48.81311239473575,-1.4978729851000003,-3.385963180256374,-4.5852767487892567,-4.0,1.9578790681107194,-2.6776578848346499,-2.8685409242352744,-3.2088536345604712,-2.221231494484166,-3.4618794339048575,409,164,108,101,111,8.97493226083332
13,1,0.0,1.9422160355658338,0,1.8202723592113754,0.0976262247894715,0,0.0,238.90811010288206,362.23419948306366,48.715486169946274,-2.1674463212,-3.385963180256374,-4.5737681544982269,-4.0,1.9266783072813072,-2.6792070255371447,-3.0008175116238434,-3.2517266741965978,-2.2212236618628367,-3.4533464599684205,410,167,105,103,110,8.985015548055543
14,2,0.0,1.9112648808230566,0,1.8328017631532123,0.09743097233989255,0,0.0,235.10087046028252,364.72755086748924,48.61805519760638,-1.8062899416,-3.385963180256374,-4.562109699158527,-4.0,1.895974761776472,-2.6740527621241794,-2.7506671838113395,-2.9501319835153472,-2.2142777322202711,-3.4376421314707972,411,170,104,100,109,8.963121212777764
15,3,0.0,1.8808069636822602,0,1.8455242861131118,0.09723611039521277,0,0.0,231.35430298862747,367.25933293650922,48.520819087211166,-2.370938917,-3.385963180256374,-4.5504281054521103,-4.0,1.8657605079728021,-2.6519992079394594,-2.6520749192120441,-3.1374427502542934,-2.1905716420795862,-3.4042004408860738,412,172,101,97,108,8.860652456944432
16,4,0.0,1.8508344239090198,0,1.8581858917707386,0.09704163817442234,0,0.0,227.6674408162007,369.77899246237695,48.42377744903674,-2.370938917,-3.385963180256374,-4.5388544745727808,-4.0,1.8360277485177476,-2.6176587817492436,-2.6020157588183546,-2.8652394246094781,-2.1534459052908739,-3.3572057878983319,413,175,119,111,108,8.699743226666655
17,5,34.648366638,2.0985264596336055,0,1.8731932865656171,0.09684755489807348,0,138.593466552,258.13554274661055,372.76546402655782,48.326929894138665,-3.1452825637,-3.354172529414407,-4.5260616476332354,-4.0,2.0817382479565367,-2.5845923439894447,-2.7202937165553553,-3.2046259473926808,-2.102404645716871,-3.3104914410380104,413,154,69,74,107,8.542436092777766
18,6,40.0,2.3850843419728847,0,1.8892948637395108,0.09665385978827733,0,160.0,293.3844547374006,375.96967788416265,48.23027603435039,-3.125531713160808,-3.323496439720811,-4.5125115624754786,-4.0,2.3660036672371016,-2.5403721021615144,-3.1348043362151579,-3.2479866355334952,-2.0392514364385717,-3.2518795393746691,414,136,81,57,106,8.334988140555545
19,7,40.0,2.6670756378992047,0,1.9071023006571417,0.09646055206870079,0,160.0,328.07164006670536,379.51335783077121,48.13381548228169,-3.381912759158167,-3.3305053231414097,-4.498457919293986,-4.0,2.645739032796011,-2.5085045931411143,-3.3574317299538414,-3.36597033350583,-2.0244547047483241,-3.2056923272457682,415,121,75,61,105,8.186401088333323
20,8,40.0,2.9445731205336427,0,1.9267483343385257,0.09626763096456338,0,160.0,362.20605041060236,383.42291853336661,48.03754785131713,-2.478909019877709,-3.2379585240335658,-4.4821751344066403,-4.0,2.921016535569374,-2.4768113167575878,-3.0589153874588382,-2.9063987462816243,-1.9071642423990065,-3.1574325602885533,416,110,69,55,104,8.038784876944437
